"
                            Allowable values: ""paypal"", ""primary"" (default), your_custom_value (a custom payment page style from your merchant account profile).
                        ","
                            Zulässige Werte: ""paypal"", ""primary"" (Standard), your_custom_value (ein benutzerdefinierter Zahlungsseiten-Stil von Deinem Händler-Konto-Profil).
                        ",module,Magento_Paypal
"
                            The background color for the checkout page around the header and payment form.
                        ","
                            Die Hintergrundfarbe der Checkout-Seite rund um den Header und das Zahlungsformular..
                        ",module,Magento_Paypal
"
                            The background color for the header of the checkout page. Case-insensitive six-character HTML hexadecimal color code in ASCII.
                        ","
                            Die Hintergrundfarbe für den Header der Checkout-Seite.HTML-hexadezimaler Farbcode in ASCII mit sechs Zeichen in Groß- und Kleinschreibung.
                        ",module,Magento_Paypal
"
                            The image at the top left of the checkout page. Max size is 750x90-pixel. <strong style=""color:red"">https</strong> is highly encouraged.
                        ","
                            Das Bild in der oberen linken Ecke der Checkout-Seite. Maximale Größe 750x90 Pixel. <strong style=""color:red"">https</strong> ausdrücklich gewünscht.
                        ",module,Magento_Paypal
"
                            Will appear as a payment option only for customers who have at least one active billing agreement.
                        ","
                            Wird als Zahlungsoption nur für Kunden erscheinen, die mindestens eine aktive Abrechnungsvereinbarung haben.
                        ",module,Magento_Paypal
"
                        <a href=""http://www.magentocommerce.com/paypal"">Start accepting payments via PayPal!</a>
                    ","
                        <a href=""http://www.magentocommerce.com/paypal"">Zahlungen via PayPal akzeptieren!</a>
                    ",module,Magento_Paypal
"
                        <strong style=""color:red"">Warning!</strong> When using Store Code in URLs, in some cases system may not work properly if URLs without Store Codes are specified in the third party services (e.g. PayPal etc.).
                    ","
                        <strong style=""color:red"">Warnung!</strong> Wenn Du den Storecode in URLs verwenden, könnte das System in einigen Fällen nicht sauber arbeiten, wenn URLs ohne Storecodes in Third-Party-Services angegeben sind (z.B. PayPal etc.).
                    ",module,Magento_Backend
"
                        Base currency is used for all online payment transactions. The base currency scope is defined by the catalog price scope (""Catalog"" > ""Price"" > ""Catalog Price Scope"").
                    ","
                        Die Basiswährung wird für alle Online-Transaktionen verwendet. Der Basiswährungs-Geltungsbereich wird durch den Katalogpreis-Geltungsbereich definiert (""""Katalog"""" > """"Preis"""" > """"Katalogpreis-Geltungsbereich"""").
                    ",module,Magento_Directory
"
                        If you select and save the rule you will be able to generate multiple coupon codes.
                    ","
                        Wenn Du die Regel auswählen und speichern, sind Du in der Lage, mehrere Gutschein-Codes zu generieren.
                    ",module,Magento_SalesRule
"
                        Logo for HTML documents only. If empty, default will be used.<br />(jpeg, gif, png)
                    ","
                        Logo nur für HTML-Dokumente. Wenn leer, wird der Standard verwendet.<br /> (jpeg, gif, png)
                    ",module,Magento_Sales
"
                        Merchants need to apply to PayPal for enabling billing agreements feature. Do not enable this option until PayPal confirms that billing agreements are enabled for your merchant account.
                    ","
                        Händler müssen PayPal beantragen, um die Abrechnungsvereinbarungsfunktion anzuwenden. Aktiviere diese Option nicht, bis PayPal bestätigt, dass die Abrechnungsvereinbarungen für Dein Händler-Konto aktiviert sind.
                    ",module,Magento_Paypal
"
                        Please use only letters (a-z or A-Z) or numbers (0-9) in this field. No spaces or other characters are allowed.<br />Similar looking characters (e.g. ""i"", ""l"", ""1"") decrease chance of correct recognition by customer.
                    ","
                        Bitte nur Buchstaben (a-z oder A-Z) oder Zahlen (0-9) in diesem Bereich verwenden. Keine Leerzeichen oder andere Zeichen sind erlaubt. <br /> Ähnlich aussehende Zeichen (zB ""i"", ""L"", ""1"") kann die korrekte Erkennung für den Kunden erschweren.
                    ",module,Magento_Captcha
